latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,rate_onset,rate_decline
32.125,-121.875,2014-07-09,2014-07-13,5,1.800027812363826,1.5843425446217467,7.921712723108733,0.1762185673873456,0.3089315251222911
32.125,-121.875,2014-07-19,2014-08-08,21,2.2993685395787686,1.7640943450351156,37.04598124573743,0.0952551483529541,0.1661129555624919
32.125,-121.875,2014-08-25,2014-09-05,12,2.705884493312162,2.0174572676046534,24.20948721125584,0.3459138423562369,0.2005255919706693
32.125,-121.875,2014-09-16,2014-09-27,12,2.0903553556164134,1.6405358533101122,19.686430239721343,0.1419607498209526,0.1129281495608531
32.125,-121.875,2014-10-03,2014-10-20,18,1.842493582649421,1.5891655758680665,28.60498036562519,0.336065022277193,0.0268772007991705
32.125,-121.875,2014-11-05,2015-03-24,140,3.210120103994172,2.144977244739655,300.2968142635517,0.0391438947845209,0.0234319716836087
32.125,-121.875,2015-03-28,2015-04-21,25,1.6525454702592928,1.2691610422933857,31.729026057334643,0.3640348199048565,0.0230367864608924
32.125,-121.875,2015-05-19,2015-05-23,5,1.21944803392579,1.1955690071851557,5.977845035925778,0.0537918550389496,0.0114736793100251
32.125,-121.875,2015-06-07,2015-06-16,10,1.5488810909645565,1.3828387993432252,13.828387993432251,0.0987127201147478,0.0583578708885158
32.125,-121.875,2015-07-01,2015-08-23,54,3.352094911011946,2.365288622891385,127.7255856361348,0.1192046068844873,0.0501440590591044
32.125,-121.875,2015-08-27,2015-11-09,75,2.917534305101139,2.029836171781156,152.2377128835867,0.6113508447746258,0.0227438000375587
32.125,-121.875,2016-02-25,2016-03-06,11,1.3900225589978277,1.3172995041264497,14.490294545390944,0.0362245029577027,0.083323925083461
32.125,-121.875,2016-04-08,2016-04-23,16,2.429379702801354,1.5285761753996814,24.457218806394906,0.1178151491720415,0.2036879415546122
32.125,-121.875,2016-06-04,2016-06-08,5,1.805427342167505,1.75438442163884,8.7719221081942,0.2865049561463617,0.136476379490269
32.125,-121.625,2014-07-07,2014-07-13,7,1.891798427011782,1.5946505872947363,11.162554111063155,0.1351159284562028,0.2713716561981449
32.125,-121.625,2014-07-19,2014-08-10,23,2.4439850962439245,1.8012177905223272,41.428009182013525,0.1093367844080604,0.1389248759201075
32.125,-121.625,2014-08-25,2014-09-05,12,2.7167107077506465,2.045266031817468,24.54319238180961,0.3529339570749172,0.1869945575726511
32.125,-121.625,2014-09-17,2014-09-27,11,2.0371061095799696,1.6723123905052688,18.39543629555796,0.1256254796366036,0.0952414526466245
32.125,-121.625,2014-10-03,2014-10-20,18,1.9801092910740576,1.7091087681997608,30.763957827595693,0.9789584614542264,0.0286330057830491
32.125,-121.625,2014-11-04,2015-04-03,151,3.1408155533597046,2.0532017107015808,310.0334583159387,0.0373891107699038,0.0202294393759219
32.125,-121.625,2015-04-15,2015-04-21,7,1.4596636195970767,1.2673459594179328,8.87142171592553,0.1108235285586103,0.1346831560476349
32.125,-121.625,2015-05-01,2015-05-05,5,1.478675650808844,1.3458294389973584,6.729147194986792,0.2014769934256945,0.1805491519534191
32.125,-121.625,2015-05-18,2015-05-24,7,1.4420448162867388,1.3115549883422155,9.18088491839551,0.0610785815985895,0.133700293521637
32.125,-121.625,2015-06-07,2015-06-12,6,1.5017950706687486,1.3886813838628975,8.332088303177386,0.0677045469778074,0.0953197865842895
32.125,-121.625,2015-07-01,2015-08-23,54,3.013247124016921,2.2937963437416133,123.86500256204712,0.0680667353764833,0.0408725458305636
32.125,-121.625,2015-08-27,2015-11-10,76,2.7818857067782794,2.037221199780222,154.82881118329686,0.0589507656517566,0.0263571717906128
32.125,-121.625,2015-12-05,2015-12-09,5,1.2719200814330485,1.2125424521198525,6.062712260599263,0.0589424721573844,0.1423320711728143
32.125,-121.625,2016-02-25,2016-03-06,11,1.3230327124128325,1.2594644704874067,13.854109175361474,0.0467605230801613,0.0386815204256291
32.125,-121.625,2016-04-08,2016-04-23,16,2.65966438253653,1.5940195620647448,25.50431299303592,0.1410007057328741,0.2450224942028674
32.125,-121.625,2016-06-04,2016-06-08,5,1.8365510246450116,1.7657968093548475,8.828984046774238,0.3165779796250731,0.1361449330249853
32.375,-122.125,2014-07-19,2014-08-08,21,2.3068274444198167,1.6823233088553275,35.32878948596188,0.4652898062220984,0.0720886856352731
32.375,-122.125,2014-08-16,2014-09-04,20,2.8887197548811763,1.917689548537563,38.353790970751255,0.1289823529117635,0.187728603614264
32.375,-122.125,2014-09-17,2014-09-27,11,1.9968715512472244,1.592482067765073,17.517302745415805,0.1379906432219088,0.1132712105824357
32.375,-122.125,2014-10-03,2014-10-09,7,1.8843812818341377,1.7568174229127724,12.297721960389406,0.2049230594707914,0.1073354722240047
32.375,-122.125,2014-10-15,2014-11-02,19,1.932751935319736,1.5187832832641424,28.856882382018703,0.2390353804760479,0.0408706799493463
32.375,-122.125,2014-11-10,2015-03-24,135,3.1250836777507693,2.148722341535558,290.0775161073003,0.0451629893583413,0.0219951329320757
32.375,-122.125,2015-04-01,2015-04-13,13,1.6622489048852334,1.4818518420840017,19.264073947092022,0.0827481872569377,0.0793923491967815
32.375,-122.125,2015-06-08,2015-06-16,9,1.5957271126764887,1.496095027433765,13.464855246903884,0.1191428252679977,0.0545057484409648
32.375,-122.125,2015-06-30,2015-08-23,55,3.5190221541560227,2.360040471377911,129.8022259257851,0.1625771324835506,0.0620133196804921
32.375,-122.125,2015-08-27,2015-11-10,76,3.1087209755843013,1.99676476392386,151.75412205821337,0.7200227599239474,0.0266607496494337
32.375,-122.125,2016-02-24,2016-03-06,12,1.404337790672022,1.2383701005866865,14.860441207040235,0.1602357867761927,0.0360577869654559
32.375,-122.125,2016-04-17,2016-04-24,8,2.435656869687076,1.8003836453859348,14.403069163087478,0.5233072517627594,0.2945438147627388
32.375,-122.125,2016-06-04,2016-06-08,5,1.7779831311667458,1.715293692449817,8.576468462249085,0.8260231637892943,0.0978873234650363
32.375,-121.875,2014-07-09,2014-07-13,5,1.7160077127876718,1.525852658801798,7.629263294008989,0.1680985178591452,0.2885540598409927
32.375,-121.875,2014-07-19,2014-08-08,21,2.3175178888931462,1.8256260200645424,38.33814642135539,0.3377170846595148,0.0698740842235741
32.375,-121.875,2014-08-16,2014-09-04,20,2.8915379752460844,1.9572133967067984,39.14426793413597,0.1257419372972222,0.1775510394171322
32.375,-121.875,2014-09-15,2014-09-29,15,2.072543114945912,1.6302295955226036,24.45344393283905,0.1190742425655077,0.0954212192516684
32.375,-121.875,2014-10-03,2014-10-10,8,2.009679858028562,1.880605183491808,15.04484146793446,0.1800325755860107,0.121973303482985
32.375,-121.875,2014-10-14,2015-04-13,182,3.2208765741624745,2.017259111538136,367.1411582999407,0.0280177885732721,0.0184873795129005
32.375,-121.875,2015-04-17,2015-04-22,6,1.481552897863514,1.3733641677718065,8.240185006630838,0.1679068270761347,0.086768402675657
32.375,-121.875,2015-06-08,2015-06-16,9,1.5631047164744238,1.4436715692379944,12.99304412314195,0.0991878280489498,0.0542115403430233
32.375,-121.875,2015-07-01,2015-08-23,54,3.4890690212123587,2.3768356622426463,128.3491257611029,0.1317941054978779,0.0577954965147814
32.375,-121.875,2015-08-27,2015-11-09,75,2.9015382041279203,1.9771610165464224,148.2870762409817,0.7159780823918046,0.0228439444475711
32.375,-121.875,2016-02-25,2016-03-06,11,1.375216962175255,1.270980851634704,13.980789367981744,0.1588669113318399,0.0316583804736921
32.375,-121.875,2016-04-17,2016-04-23,7,2.5788727489555487,1.9791649351167315,13.85415454581712,0.5236724334110103,0.2249465737132576
32.375,-121.875,2016-05-15,2016-05-19,5,1.2755700165176815,1.2317537426241227,6.1587687131206135,0.7814524151785722,0.022294134697201
32.375,-121.875,2016-06-04,2016-06-08,5,1.7999361132255132,1.748163629204191,8.740818146020956,0.2725206543704471,0.1228750344113263
32.375,-121.625,2014-07-07,2014-07-13,7,1.8421147479242208,1.5874903142290222,11.112432199603155,0.1207080627037168,0.2712025700605369
32.375,-121.625,2014-07-19,2014-08-08,21,2.382629811369455,1.9399093175248503,40.738095668021856,0.469695471052271,0.0572211085989879
32.375,-121.625,2014-08-15,2014-09-04,21,2.8682395270243326,1.9224942899346649,40.37238008862796,0.1260008217618621,0.1666401298490164
32.375,-121.625,2014-09-16,2014-09-28,13,2.06361956352988,1.702249394326962,22.129242126250503,0.1134446614818584,0.0832615259558004
32.375,-121.625,2014-10-03,2014-10-10,8,2.091351170173361,1.9835295771546564,15.868236617237253,0.8491019752563318,0.0639064561171818
32.375,-121.625,2014-10-14,2015-04-08,177,3.232826492615942,2.051208807131855,363.0639588623383,0.0256497402457946,0.0187696858744341
32.375,-121.625,2015-04-15,2015-04-22,8,1.694683880465485,1.425704098229055,11.40563278583244,0.2021891988361435,0.1268347037869498
32.375,-121.625,2015-05-01,2015-05-06,6,1.5105315068404952,1.3289549192638297,7.973729515582978,0.193018734819213,0.21140705078204
32.375,-121.625,2015-05-18,2015-05-24,7,1.4401053920543705,1.293646419433087,9.05552493603161,0.0584808115301585,0.1405422040766808
